symptom_description,disease_label
"Lately I feel like I have dry skin, my thinking feels slow, and my face looks a bit puffy. I am noticing it more as the day goes on. It feels pretty intense today. On top of that, i do not have diarrhea.",Hypothyroidism
"I have been dealing with my heart feels like it is beating fast and my hands and feet feel cold, and I also notice I have trouble concentrating. It comes and goes but keeps bothering me. It has been a real nuisance. On top of that, i do not notice a rash.",Anaemia
"I keep having I feel sick to my stomach, pain that started near my belly button and moved to the lower right side, and my stomach feels tight and sore for since last night. It feels severe and hard to ignore. I am struggling to get through the day. One thing I can say is, i do not notice a skin rash. I have not noticed much improvement.",Appendicitis
"For for two days, I have noticed I have mild sinus pressure, I feel a bit tired, and sneezing. At least, i do not have a high fever. I am uncomfortable enough that it is affecting my routine. I do not think it is from anything obvious.",Common Cold
"I have had feeling weak even after resting for over the past month, and I keep noticing my heart feels like it is beating fast as well as shortness of breath with little effort. It is really starting to get on my nerves. One thing I can say is, i do not have vomiting.",Anaemia
"For for several hours, I have noticed pressure at the back of my head, a dull band like headache, and my shoulders feel tense. One thing I can say is, i do not have flashing lights. it is getting in the way of my normal day. I do not think it is from anything obvious.",Tension Headache
"I started with my face feels hot, and now I also have I sometimes feel fine but my readings stay high and feeling flushed. It comes and goes but keeps bothering me. At the same time, i do not have burning when i pee. I do not think it is from anything obvious.",Hypertension
"For all week, I have noticed I keep rubbing my eyes, constant sneezing, and my nose is acting up around dust. At least, i do not have a fever. I am noticing it more as the day goes on. it does not seem to settle fully.",Allergic Rhinitis
"I have had walking is painful for for several hours, and I keep noticing sharp joint pain as well as a swollen hot joint. I feel off in myself. One thing I can say is, i do not have vomiting.",Gout
"I started with nausea, and now I also have I feel weak and vomiting. It feels pretty intense today. On top of that, i do not have ear pain. I have not noticed much improvement.",Gastroenteritis
"Lately I feel like I have wheezing, trouble getting a full breath, and I have to pause to catch my breath. it is getting in the way of my normal day. It feels severe and hard to ignore. On top of that, i do not have burning when i pee.",Asthma
"For for a few days, I have been dealing with pain around my cheeks and forehead, facial pressure, and a headache with sinus pressure. I am sleeping poorly because of it. It has been a real nuisance. At the same time, i do not have swollen toe joints.",Sinusitis
"I feel tightness in my chest, a cough that gets worse at night, and I feel breathless around dust today. It feels severe and hard to ignore. it is making simple tasks feel harder. I feel off in myself. On top of that, i do not notice a rash.",Asthma
"Lately I feel like I have pain around my cheeks and forehead, thick nasal mucus, and leaning forward makes it worse. I am struggling to get through the day. It feels pretty intense today. At the same time, i do not have a rash.",Sinusitis
"Since earlier, I have had the flaking is noticeable, it keeps coming back in the same spots, and some areas crack and sting for on and off lately. It comes and goes but keeps bothering me. I am uncomfortable enough that it is affecting my routine. Also, i do not have diarrhea. it does not seem to settle fully.",Psoriasis
"I have been dealing with white patches on my tonsils and a very sore throat, and I also notice my glands feel swollen. It feels moderate and annoying. It has been a real nuisance. At least, i do not have stomach cramps.",Tonsillitis
"I started with pain when I pee, and now I also have the pain comes in intense waves and I cannot get comfortable. It feels severe and hard to ignore. Also, i do not have a cough. I have been trying to take it easy.",Kidney Stones
"Lately I feel like I have the spots are at different stages, an itchy blister like rash, and spots all over my body. I am sleeping poorly because of it. It feels moderate and annoying. One thing I can say is, i do not have chest pressure.",Chickenpox
"For for several days, I have noticed a rash in the bends of my arms, red inflamed patches on my skin, and itching that gets worse at night. Also, i do not have a fever. it is making simple tasks feel harder. I do not think it is from anything obvious.",Eczema
"I have had sticky discharge from my eyes for since this morning, and I keep noticing bright light bothers me as well as watery eyes. It is really starting to get on my nerves. One thing I can say is, i do not have diarrhea.",Conjunctivitis
"Since earlier, I have had I find it hard to focus, my appetite has changed, and feeling empty for for the past month. It feels moderate and annoying. I am finding it hard to focus. At the same time, i do not have vomiting. I have been trying to take it easy.",Depression
"I have been dealing with my hands and feet feel cold and feeling weak even after resting, and I also notice looking unusually pale. It feels pretty intense today. It has been a real nuisance. Also, i do not have a sore throat.",Anaemia
"I feel thick scaly patches on my skin, itchy patches on my elbows, and the patches look well defined today. It feels mild but persistent. I am noticing it more as the day goes on. It is really starting to get on my nerves. On top of that, i do not have a cough.",Psoriasis
"I keep having I keep wanting to rub them, sticky discharge from my eyes, and itchy irritated eyes for since yesterday. It feels moderate and annoying. I am struggling to get through the day. Also, i do not have a cough. I have been trying to take it easy.",Conjunctivitis
"I have been dealing with mild headaches and occasional dizziness, and I also notice the headache is dull rather than sharp. It comes and goes but keeps bothering me. I feel off in myself. On top of that, i do not have a skin rash.",Hypertension
"I started with tightness around my forehead, and now I also have the pain is steady rather than throbbing and a dull band like headache. It feels mild but persistent. At least, i do not have vomiting. I have not noticed much improvement.",Tension Headache
"I have had my joints feel creaky for for a long time, and I keep noticing aching joints as well as joint pain that is worse in the morning. I feel off in myself. One thing I can say is, i do not have burning when i pee.",Arthritis
"I have been dealing with my chest feels hot after eating and my throat feels irritated, and I also notice I keep burping. It feels severe and hard to ignore. I feel off in myself. On top of that, i do not have burning when i pee.",GERD
"I have been dealing with I feel drained and feeling tired most days, and I also notice blurred vision. It feels mild but persistent. I feel off in myself. On top of that, i do not have a cough.",Type 2 Diabetes
"I have been dealing with a dry cough and I feel shivery, and I also notice I feel wiped out. It feels severe and hard to ignore. It is knocking me about. One thing I can say is, i do not have burning when i pee.",COVID-19
