symptom_description,disease_label
"I feel deeply, chronically fatigued all the time, and I am gaining weight rapidly despite changing absolutely nothing about my diet.",Hypothyroidism
"It is hard to explain, but i feel totally exhausted all the time and my friends say i look unusually pale, even when i sleep for eight hours.",Anaemia
"I feel totally exhausted all the time and my friends say I look unusually pale, even when I sleep for eight hours.",Anaemia
"Lately, my throat feels scratchy and my eyes are watering constantly, which makes it very hard to focus on my work.",Allergic Rhinitis
"Unfortunately, i have raised, angry red patches of skin totally covered in silvery scales on my elbows that itch relentlessly. It is becoming quite difficult to manage.",Psoriasis
"I have a stinging pain at the end of urination, and I feel a heavy, uncomfortable pressure right above my pubic bone. I do not know what to do about it anymore.",UTI
"My head feels like it is stuffed with cotton, I have a low grade fever, and thick mucus is constantly draining down the back of my throat. The symptoms are really impacting my daily routine.",Sinusitis
"I am noticing that my face looks puffy, my voice sounds unusually hoarse, and i feel wholly drained of all physical energy. I am starting to get very concerned about it.",Hypothyroidism
"Unfortunately, my eye is incredibly itchy and slightly swollen, but my actual vision does not seem to be blurry at all. I have never experienced anything exactly like this before.",Conjunctivitis
"Recently, my skin has become uncomfortably dry, my hair is thinning at the crown, and i am constantly shivering even in warm rooms. The symptoms are really impacting my daily routine.",Hypothyroidism
"I am experiencing sharp pain on both sides of my throat when I drink water, and I feel generally exhausted and feverish. The symptoms are really impacting my daily routine.",Tonsillitis
"It feels exactly like there is a tight, heavy band squeezing all the way around my head, especially across my forehead. I am starting to get very concerned about it.",Tension Headache
"I must say, i suddenly feel a terrifying shortness of breath, a cold clammy sweat, and an intense ache between my shoulder blades.",Heart Attack
"Recently, my eye is incredibly itchy and slightly swollen, but my actual vision does not seem to be blurry at all. I do not know what to do about it anymore.",Conjunctivitis
"I have a mild fever, I feel highly lethargic, and there is a rash spreading from my back to my face. The symptoms are really impacting my daily routine.",Chickenpox
"I feel incredibly sick to my stomach, my bowels are completely liquid, and I am running a mild fever.",Gastroenteritis
"Lately, my wrists feel locked up and painful, although the stiffness does tend to improve slightly once i start moving around. I do not know what to do about it anymore.",Arthritis
"My face feels very tender to the touch, my nose is completely blocked, and I have a headache that gets significantly worse when I bend over.",Sinusitis
"I must say, i am dealing with pitted, discolored fingernails and dry, scaly patches of skin on my lower back that will not heal. It has been consistently bothering me for several days.",Psoriasis
"Unfortunately, i have rough, raised red patches on the backs of my knees that flare up and sting whenever i sweat.",Eczema
"For the past few days, i am feeling a bit under the weather with mild sinus pressure and a tickle in my throat that will not go away.",Common Cold
"I am shivering uncontrollably in bed, my entire body hurts, and I have a harsh, dry cough that hurts my ribs. I do not know what to do about it anymore.",Influenza
"Lately, my urine looks very cloudy and smells unusually strong, and i am experiencing a dull, persistent ache deep in my lower pelvis.",UTI
"I am noticing that i am crying frequently for no clear reason, and my appetite has totally disappeared over the last few weeks. I have never experienced anything exactly like this before.",Depression
"I must say, i have a terrible sore throat, my voice is wholly muffled, and i have awful bad breath that i simply cannot brush away. I have never experienced anything exactly like this before.",Tonsillitis
"Recently, i am feeling a bit under the weather with mild sinus pressure and a tickle in my throat that will not go away. I am starting to get very concerned about it.",Common Cold
"I must say, it is pure agony to swallow anything, and when i look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots. I am hoping to find some relief soon.",Tonsillitis
"To be honest, i have rough, raised red patches on the backs of my knees that flare up and sting whenever i sweat. It has been consistently bothering me for several days.",Eczema
"I am dealing with a deep, hacking cough that brings up thick yellow mucus, and my chest feels heavy and sore. The symptoms are really impacting my daily routine.",Bronchitis
"I have a burning sensation in my right eye, and the white part looks very inflamed and raw. I do not know what to do about it anymore.",Conjunctivitis
"My chest hurts from coughing so forcefully, but I am finally starting to expel some green phlegm. I have never experienced anything exactly like this before.",Bronchitis
"I have completely lost my sense of taste and smell, and I am battling a persistent dry cough along with fatigue.",COVID-19
"Recently, i am crying frequently for no clear reason, and my appetite has absolutely disappeared over the last few weeks. It has been consistently bothering me for several days.",Depression
"I am writhing in bed because the pain in my side is so excruciating, and I feel intensely nauseous from the agony. I have never experienced anything exactly like this before.",Kidney Stones
"To be honest, i feel utterly exhausted, my breathing is very shallow and fast, and my lungs feel deeply congested and heavy.",Pneumonia
"It is hard to explain, but when i stand up from a chair too quickly, i get dizzy, and my hands and feet are always freezing. It is becoming quite difficult to manage.",Anaemia
"Recently, i have wholly lost my appetite, i am running a low fever, and it hurts intensely whenever i cough or walk.",Appendicitis
"Recently, i am suffering from explosive diarrhea and cold sweats, and i cannot even keep a single sip of water down.",Food Poisoning
"I am noticing that i am dealing with persistent blemishes on my forehead, but they are relatively mild and do not hurt.",Acne
"It is hard to explain, but i feel a profound, heavy emptiness inside, and i simply cannot find joy in any of the hobbies i used to love. I am hoping to find some relief soon.",Depression
"I must say, i feel utterly exhausted after every meal, i am losing weight without trying, and my mouth is always totally parched.",Type 2 Diabetes
"I am shivering uncontrollably in bed, my entire body hurts, and I have a harsh, dry cough that hurts my ribs. I have never experienced anything exactly like this before.",Influenza
"I am trying to speak to my husband but the words are coming out as total gibberish, and my right arm feels totally paralyzed. I do not know what to do about it anymore.",Stroke
"Recently, i am dealing with pitted, discolored fingernails and dry, scaly patches of skin on my lower back that will not heal. The symptoms are really impacting my daily routine.",Psoriasis
"Unfortunately, my head feels slightly congested and i am sneezing quite a bit, though my energy levels are mostly normal. I am starting to get very concerned about it.",Common Cold
"Whenever I step outside into the pollen, my nose immediately starts running and my eyes become incredibly itchy. I am hoping to find some relief soon.",Allergic Rhinitis
"My hands are covered in tiny blisters and the skin is peeling off, which makes washing dishes extremely painful.",Eczema
"I was suddenly hit by overwhelming fatigue yesterday, accompanied by a high fever, severe chills, and agonizing muscle aches. It is extremely frustrating to deal with.",Influenza
"My face looks puffy, my voice sounds unusually hoarse, and I feel entirely drained of all physical energy. The symptoms are really impacting my daily routine.",Hypothyroidism
"Unfortunately, my oxygen feels low, my lips have a slight blue tint, and i am sweating profusely while coughing uncontrollably.",Pneumonia
"I cannot stop scratching these bumps all over my arms, and some of them have already popped and crusted over. I do not know what to do about it anymore.",Chickenpox
"I have lost my sense of smell wholly due to the congestion, and there is a terrible, persistent ache in my upper jaw. I have never experienced anything exactly like this before.",Sinusitis
"It is hard to explain, but when i stand up from a chair too quickly, i get dizzy, and my hands and feet are always freezing.",Anaemia
"I started seeing weird zigzag lines in my vision, and shortly after, a severe, nauseating headache entirely incapacitated me. I have never experienced anything exactly like this before.",Migraine
"I am noticing that i am experiencing a crushing, suffocating pressure in the dead center of my chest, and the pain is radiating down my left arm.",Heart Attack
"Lately, the skin on my shoulder was tingling and itching for days, and today it broke out in a clustered, incredibly painful rash.",Shingles
"I am noticing that my stomach ties itself in knots, my palms sweat profusely, and i feel entirely on edge during normal conversations.",Anxiety Disorder
"Lately, i feel deeply, chronically fatigued all the time, and i am gaining weight rapidly despite changing absolutely nothing about my diet. It is becoming quite difficult to manage.",Hypothyroidism
"I must say, my chest hurts from coughing so forcefully, but i am finally starting to expel some green phlegm.",Bronchitis
"Recently, my heart races sometimes when i climb stairs, and i just do not have the energy i used to possess. It is extremely frustrating to deal with.",Anaemia
"I must say, i have a looming sense of dread that follows me everywhere, though there is no logical cause for my panic.",Anxiety Disorder
"For the past few days, i cannot catch my breath at all after jogging a short distance, and i am coughing violently in the cold air.",Asthma
"For the past few days, my stomach is cramping aggressively, and i have been stuck on the toilet with watery diarrhea all morning. The symptoms are really impacting my daily routine.",Gastroenteritis
"Recently, there is a steady, mild pressure on both sides of my head that is annoying but does not throb or cause nausea.",Tension Headache
"For the past few days, i am feeling a bit under the weather with mild sinus pressure and a tickle in my throat that will not go away. I have never experienced anything exactly like this before.",Common Cold
"Lately, i feel like i have been run over by a truck; my joints ache deeply, my head is throbbing, and i am burning up. It has been consistently bothering me for several days.",Influenza
"Lately, i am dealing with a deep, hacking cough that brings up thick yellow mucus, and my chest feels heavy and sore. It is extremely frustrating to deal with.",Bronchitis
"I am trying to speak to my husband but the words are coming out as total gibberish, and my right arm feels totally paralyzed. I am starting to get very concerned about it.",Stroke
"I am noticing that i am dealing with simultaneous vomiting and loose stools, making me feel dangerously dehydrated and weak.",Gastroenteritis
"For the past few days, i cannot catch my breath at all after jogging a short distance, and i am coughing violently in the cold air.",Asthma
"Unfortunately, i have wholly lost my sense of taste and smell, and i am battling a persistent dry cough along with fatigue. I am starting to get very concerned about it.",COVID-19
"I feel a constant, nagging urgency to use the bathroom, but often I cannot actually pass anything when I try. It has been consistently bothering me for several days.",IBS
"My vision abruptly became very blurry in my left eye, and I am experiencing a sudden, phenomenally severe headache unlike anything else.",Stroke
"I experience severe congestion and postnasal drip every spring, yet my body feels otherwise perfectly fine. I have never experienced anything exactly like this before.",Allergic Rhinitis
"I am noticing that my entire body aches terribly, i have a scratching sore throat, and i am running a moderate fever. I am hoping to find some relief soon.",COVID-19
"Lately, i have noticed that small cuts and bruises on my skin take an unusually long time to heal, and i feel hungry all the time. I have never experienced anything exactly like this before.",Type 2 Diabetes
"Unfortunately, i have a stinging pain at the end of urination, and i feel a heavy, uncomfortable pressure right above my pubic bone. It is becoming quite difficult to manage.",UTI
"To be honest, i experience severe congestion and postnasal drip every spring, yet my body feels otherwise perfectly fine. I have never experienced anything exactly like this before.",Allergic Rhinitis
"It is hard to explain, but my head feels like it is stuffed with cotton, i have a low grade fever, and thick mucus is constantly draining down the back of my throat. It has been consistently bothering me for several days.",Sinusitis
"It is pure agony to swallow anything, and when I look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots. It is extremely frustrating to deal with.",Tonsillitis
"I am noticing that i feel overwhelmingly nauseous and my abdomen is cramping intensely, though i have not actually vomited yet.",Food Poisoning
"I do not have many symptoms, but I have noticed I get minor nosebleeds and feel flushed in the face sometimes. It is becoming quite difficult to manage.",Hypertension
"It is hard to explain, but i experience severe congestion and postnasal drip every spring, yet my body feels otherwise perfectly fine. I have never experienced anything exactly like this before.",Allergic Rhinitis
"To be honest, my vision occasionally gets a little blurry and i feel dizzy upon waking up, though the symptoms fade quickly. It is becoming quite difficult to manage.",Hypertension
"I must say, both of my eyes are unusually watery and pink, and my eyelashes were glued shut with crust when i woke up.",Conjunctivitis
"I feel a lot of fluid pressure behind my eardrum, and there is a yellowish discharge leaking out onto my pillow.",Ear Infection
"To be honest, i have noticed that small cuts and bruises on my skin take an unusually long time to heal, and i feel hungry all the time.",Type 2 Diabetes
"There is a tremendous amount of pressure building behind my eyes and cheekbones, and my nasal discharge is thick and yellowish green. It is becoming quite difficult to manage.",Sinusitis
"Getting out of my bed requires more energy than I have, and I am struggling with overwhelming feelings of worthlessness. I am starting to get very concerned about it.",Depression
"I have a runny nose with clear fluid and a very mild cough, but I do not have any severe muscle aches. It has been consistently bothering me for several days.",Common Cold
"It is hard to explain, but there is a blinding, pulsing pain isolated entirely on the right side of my head, and i absolutely cannot tolerate any bright lights.",Migraine
"For the past few days, i have a mild fever, i feel unusually lethargic, and there is a rash spreading from my back to my face. It is becoming quite difficult to manage.",Chickenpox
"I am experiencing sharp pain on both sides of my throat when I drink water, and I feel generally exhausted and feverish. I have never experienced anything exactly like this before.",Tonsillitis
"I must say, my knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever i try to bend it.",Gout
"I must say, my vision occasionally gets a little blurry and i feel dizzy upon waking up, though the symptoms fade quickly.",Hypertension
I am noticing that i am dealing with chronic pain in my hips that flares up terribly whenever the weather becomes cold and damp. It is extremely frustrating to deal with.,Arthritis
"It is hard to explain, but i feel a deep, drilling pain behind my left eye, and the headache is so severe that i have to lie in a totally dark room. I am starting to get very concerned about it.",Migraine
"There is a steady, mild pressure on both sides of my head that is annoying but does not throb or cause nausea.",Tension Headache
"Lately, i was suddenly hit by overwhelming fatigue yesterday, accompanied by a high fever, severe chills, and agonizing muscle aches.",Influenza
"I just lost all physical strength in my left arm and leg out of nowhere, and my balance is entirely gone. I am starting to get very concerned about it.",Stroke
"Lately, my knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever i try to bend it.",Gout
"I am noticing that my knee is incredibly stiff, warm to the touch, and it pulses with an agonizing pain whenever i try to bend it. I am starting to get very concerned about it.",Gout
"Recently, i cannot stop sneezing and my nasal passages are absolutely blocked, although i do not have a fever.",Allergic Rhinitis
"It is hard to explain, but i feel like there is a lump in my throat that i cannot swallow away, along with a frequent sour stomach.",GERD
"There is a severe, localized pain just below my ribs on the right side, and it burns intensely when I try to urinate. I am starting to get very concerned about it.",Kidney Stones
"Unfortunately, the pain started mildly around my belly button yesterday, but now it has moved lower and i feel incredibly nauseous. It is becoming quite difficult to manage.",Appendicitis
"I am noticing that i feel like there is a lump in my throat that i cannot swallow away, along with a frequent sour stomach. It is extremely frustrating to deal with.",GERD
"I am dealing with pitted, discolored fingernails and dry, scaly patches of skin on my lower back that will not heal. It is becoming quite difficult to manage.",Psoriasis
"My nose is severely congested and I feel incredibly run down, although my breathing remains perfectly normal so far. I have never experienced anything exactly like this before.",COVID-19
"I have lost my sense of smell wholly due to the congestion, and there is a terrible, persistent ache in my upper jaw. It is extremely frustrating to deal with.",Sinusitis
"I am trying to speak to my husband but the words are coming out as total gibberish, and my right arm feels totally paralyzed.",Stroke
"I cannot stop coughing, especially when I lay down to sleep, and I have a mild fever with body aches. I do not know what to do about it anymore.",Bronchitis
"Unfortunately, i am experiencing a strange craving to chew on ice, accompanied by a constant, lingering fatigue.",Anaemia
"Lately, i have fluid filled blisters on one side of my face, accompanied by a mild fever and a deep, burning ache.",Shingles
"My heart races sometimes when I climb stairs, and I just do not have the energy I used to possess. It is extremely frustrating to deal with.",Anaemia
"Unfortunately, my face looks puffy, my voice sounds unusually hoarse, and i feel totally drained of all physical energy. It is extremely frustrating to deal with.",Hypothyroidism
"My head feels slightly congested and I am sneezing quite a bit, though my energy levels are mostly normal. I am hoping to find some relief soon.",Common Cold
"I am noticing that my scalp feels tender and my head aches dully, mostly toward the end of a long, stressful day staring at my computer screen.",Tension Headache
"I must say, it feels like someone is sitting on my chest, and i find myself gasping for air in the middle of the night.",Asthma
"Unfortunately, i am experiencing severe brain fog, my memory feels terrible, and my bowel movements have become very sluggish. I do not know what to do about it anymore.",Hypothyroidism
"I started seeing weird zigzag lines in my vision, and shortly after, a severe, nauseating headache absolutely incapacitated me. It is extremely frustrating to deal with.",Migraine
"I am crying frequently for no clear reason, and my appetite has wholly disappeared over the last few weeks. I do not know what to do about it anymore.",Depression
"For the past few days, i am dealing with simultaneous vomiting and loose stools, making me feel dangerously dehydrated and weak.",Gastroenteritis
"I am noticing that occasionally i get a dull, throbbing headache at the back of my skull and hear a faint buzzing in my ears.",Hypertension
"Lately, i have been violently throwing up and dealing with severe stomach cramps ever since i ate that questionable seafood.",Food Poisoning
"For the past few days, i feel incredibly sick to my stomach, my bowels are wholly liquid, and i am running a mild fever.",Gastroenteritis
"Lately, there is a sharp, agonizing stabbing pain deep inside my right ear, and my hearing is distinctly muffled on that side. The symptoms are really impacting my daily routine.",Ear Infection
"I get a horrific burning sensation right behind my breastbone, especially when I lay down after eating a large meal. It is becoming quite difficult to manage.",GERD
"For the past few days, i have a mild fever, i feel unusually lethargic, and there is a rash spreading from my back to my face. It has been consistently bothering me for several days.",Chickenpox
"I feel incredibly sick to my stomach, my bowels are entirely liquid, and I am running a mild fever. It is extremely frustrating to deal with.",Gastroenteritis
"The skin on my shoulder was tingling and itching for days, and today it broke out in a clustered, incredibly painful rash. It has been consistently bothering me for several days.",Shingles
"To be honest, i am dealing with persistent blemishes on my forehead, but they are relatively mild and do not hurt.",Acne
"I am experiencing an agonizing, sharp stabbing pain in the lower right side of my abdomen that is getting worse by the hour. I am starting to get very concerned about it.",Appendicitis
"There is a steady, mild pressure on both sides of my head that is annoying but does not throb or cause nausea. I am starting to get very concerned about it.",Tension Headache
"My skin is totally covered in blackheads and whiteheads, though I do not feel any physical pain. I am starting to get very concerned about it.",Acne
"To be honest, my stomach frequently swells up like a balloon after meals, and i experience frequent gas and abdominal discomfort. I have never experienced anything exactly like this before.",IBS
"I must say, it feels like there is a dark cloud over my head every day, and i am entirely exhausted even after sleeping ten hours. It is becoming quite difficult to manage.",Depression
"I feel incredibly sick to my stomach, my bowels are wholly liquid, and I am running a mild fever. I am starting to get very concerned about it.",Gastroenteritis
"I am noticing that my skin has become uncomfortably dry, my hair is thinning at the crown, and i am constantly shivering even in warm rooms. The symptoms are really impacting my daily routine.",Hypothyroidism
"I have a runny nose with clear fluid and a very mild cough, but I do not have any severe muscle aches. It has been consistently bothering me for several days.",Common Cold
"Lately, i have a stinging pain at the end of urination, and i feel a heavy, uncomfortable pressure right above my pubic bone. The symptoms are really impacting my daily routine.",UTI
"I am noticing that i am running a high fever and coughing up thick, rust colored phlegm, and my chest hurts with a stabbing pain whenever i inhale.",Pneumonia
"The joints in my fingers are swollen, red, and very stiff, especially when I first wake up in the morning. It is becoming quite difficult to manage.",Arthritis
"To be honest, my oxygen feels low, my lips have a slight blue tint, and i am sweating profusely while coughing uncontrollably. I am hoping to find some relief soon.",Pneumonia
"I am noticing that there is a severe, localized pain just below my ribs on the right side, and it burns intensely when i try to urinate.",Kidney Stones
"Unfortunately, i feel utterly exhausted, my breathing is very shallow and fast, and my lungs feel deeply congested and heavy.",Pneumonia
"I must say, i have a terrible sore throat, my voice is wholly muffled, and i have awful bad breath that i simply cannot brush away. The symptoms are really impacting my daily routine.",Tonsillitis
"To be honest, my throat feels scratchy and my eyes are watering constantly, which makes it very hard to focus on my work.",Allergic Rhinitis
"I cannot catch my breath at all after jogging a short distance, and I am coughing violently in the cold air.",Asthma
"For the past few days, my chest feels extraordinarily heavy, i am gasping for air, and my lower jaw is aching with a strange intensity. I have never experienced anything exactly like this before.",Heart Attack
"Unfortunately, i have a terrible sore throat, my voice is wholly muffled, and i have awful bad breath that i simply cannot brush away.",Tonsillitis
"There is a blinding, pulsing pain isolated entirely on the right side of my head, and I absolutely cannot tolerate any bright lights.",Migraine
"My throat feels scratchy and my eyes are watering constantly, which makes it very hard to focus on my work. I do not know what to do about it anymore.",Allergic Rhinitis
"For the past few days, my heart races sometimes when i climb stairs, and i just do not have the energy i used to possess. I am starting to get very concerned about it.",Anaemia
"I started seeing weird zigzag lines in my vision, and shortly after, a severe, nauseating headache entirely incapacitated me. I am starting to get very concerned about it.",Migraine
"I must say, my skin has become uncomfortably dry, my hair is thinning at the crown, and i am constantly shivering even in warm rooms.",Hypothyroidism
"To be honest, i generally feel perfectly fine, but my doctor warned me that my blood pressure readings are consistently dangerously high. It has been consistently bothering me for several days.",Hypertension
"My bowel habits are entirely unpredictable, drastically swinging between severe constipation and sudden, urgent diarrhea. I am hoping to find some relief soon.",IBS
"It is hard to explain, but my skin has become uncomfortably dry, my hair is thinning at the crown, and i am constantly shivering even in warm rooms. I am hoping to find some relief soon.",Hypothyroidism
"It is hard to explain, but my hands are covered in tiny blisters and the skin is peeling off, which makes washing dishes highly painful.",Eczema
"I must say, my throat is intensely sore, the glands in my neck are swollen to the size of marbles, and i am running a moderate fever. It is extremely frustrating to deal with.",Tonsillitis
"There are deep, painful pimples all over my cheeks that simply will not go away despite my daily face wash routine.",Acne
"I must say, i am dealing with persistent blemishes on my forehead, but they are relatively mild and do not hurt.",Acne
"It is pure agony to swallow anything, and when I look in the mirror, the back of my throat is bright red, swollen, and covered in nasty white spots. It is extremely frustrating to deal with.",Tonsillitis
"I must say, i feel overwhelmingly nauseous and my abdomen is cramping intensely, though i have not actually vomited yet. It is extremely frustrating to deal with.",Food Poisoning
"It is hard to explain, but the joint at the base of my big toe is swollen, bright red, and so excruciatingly painful that i cannot wear a shoe.",Gout
"To be honest, there is a sharp, agonizing stabbing pain deep inside my right ear, and my hearing is distinctly muffled on that side. It is becoming quite difficult to manage.",Ear Infection
"I must say, i have a stinging pain at the end of urination, and i feel a heavy, uncomfortable pressure right above my pubic bone.",UTI
"For the past few days, i have a dull, constant ache wrapping around my skull, accompanied by a lot of stiff tightness in my neck and shoulder muscles.",Tension Headache
"I have a burning sensation in my right eye, and the white part looks very inflamed and raw. I am starting to get very concerned about it.",Conjunctivitis
