symptom_description,disease_label,cleaned,processed,num_label
"Lately I feel like I have dry skin, my thinking feels slow, and my face looks a bit puffy. I am noticing it more as the day goes on. It feels pretty intense today. On top of that, i do not have diarrhea.",Hypothyroidism,lately i feel like i have dry skin my thinking feels slow and my face looks a bit puffy i am noticing it more as the day goes on it feels pretty intense today on top of that i do not have diarrhea,lately feel like dry skin thinking feel slow face look bit puffy notice day go feel pretty intense today not diarrhea,21
"I have been dealing with my heart feels like it is beating fast and my hands and feet feel cold, and I also notice I have trouble concentrating. It comes and goes but keeps bothering me. It has been a real nuisance. On top of that, i do not notice a rash.",Anaemia,i have been dealing with my heart feels like it is beating fast and my hands and feet feel cold and i also notice i have trouble concentrating it comes and goes but keeps bothering me it has been a real nuisance on top of that i do not notice a rash,deal heart feel like beat fast hand foot feel cold notice trouble concentrate come go keep bother real nuisance not notice rash,2
"I keep having I feel sick to my stomach, pain that started near my belly button and moved to the lower right side, and my stomach feels tight and sore for since last night. It feels severe and hard to ignore. I am struggling to get through the day. One thing I can say is, i do not notice a skin rash. I have not noticed much improvement.",Appendicitis,i keep having i feel sick to my stomach pain that started near my belly button and moved to the lower right side and my stomach feels tight and sore for since last night it feels severe and hard to ignore i am struggling to get through the day one thing i can say is i do not notice a skin rash i have not noticed much improvement,have feel sick stomach pain start near belly button move low right stomach feel tight sore night feel severe hard ignore struggle day thing not notice skin rash not notice improvement,4
"For for two days, I have noticed I have mild sinus pressure, I feel a bit tired, and sneezing. At least, i do not have a high fever. I am uncomfortable enough that it is affecting my routine. I do not think it is from anything obvious.",Common Cold,for for two days i have noticed i have mild sinus pressure i feel a bit tired and sneezing at least i do not have a high fever i am uncomfortable enough that it is affecting my routine i do not think it is from anything obvious,day notice mild sinus pressure feel bit tired sneeze not high fever uncomfortable affect routine not think obvious,10
"I have had feeling weak even after resting for over the past month, and I keep noticing my heart feels like it is beating fast as well as shortness of breath with little effort. It is really starting to get on my nerves. One thing I can say is, i do not have vomiting.",Anaemia,i have had feeling weak even after resting for over the past month and i keep noticing my heart feels like it is beating fast as well as shortness of breath with little effort it is really starting to get on my nerves one thing i can say is i do not have vomiting,feel weak rest past month notice heart feel like beat fast shortness breath little effort start nerve thing not vomit,2
"For for several hours, I have noticed pressure at the back of my head, a dull band like headache, and my shoulders feel tense. One thing I can say is, i do not have flashing lights. it is getting in the way of my normal day. I do not think it is from anything obvious.",Tension Headache,for for several hours i have noticed pressure at the back of my head a dull band like headache and my shoulders feel tense one thing i can say is i do not have flashing lights it is getting in the way of my normal day i do not think it is from anything obvious,hour notice pressure head dull band like headache shoulder feel tense thing not flash light get way normal day not think obvious,31
"I started with my face feels hot, and now I also have I sometimes feel fine but my readings stay high and feeling flushed. It comes and goes but keeps bothering me. At the same time, i do not have burning when i pee. I do not think it is from anything obvious.",Hypertension,i started with my face feels hot and now i also have i sometimes feel fine but my readings stay high and feeling flushed it comes and goes but keeps bothering me at the same time i do not have burning when i pee i do not think it is from anything obvious,start face feel hot feel fine reading stay high feel flushed come go keep bother time not burn pee not think obvious,20
"For all week, I have noticed I keep rubbing my eyes, constant sneezing, and my nose is acting up around dust. At least, i do not have a fever. I am noticing it more as the day goes on. it does not seem to settle fully.",Allergic Rhinitis,for all week i have noticed i keep rubbing my eyes constant sneezing and my nose is acting up around dust at least i do not have a fever i am noticing it more as the day goes on it does not seem to settle fully,week notice rub eye constant sneezing nose act dust not fever notice day go not settle fully,1
"I have had walking is painful for for several hours, and I keep noticing sharp joint pain as well as a swollen hot joint. I feel off in myself. One thing I can say is, i do not have vomiting.",Gout,i have had walking is painful for for several hours and i keep noticing sharp joint pain as well as a swollen hot joint i feel off in myself one thing i can say is i do not have vomiting,walk painful hour notice sharp joint pain swollen hot joint feel thing not vomit,18
"I started with nausea, and now I also have I feel weak and vomiting. It feels pretty intense today. On top of that, i do not have ear pain. I have not noticed much improvement.",Gastroenteritis,i started with nausea and now i also have i feel weak and vomiting it feels pretty intense today on top of that i do not have ear pain i have not noticed much improvement,start nausea feel weak vomit feel pretty intense today not ear pain not notice improvement,17
"Lately I feel like I have wheezing, trouble getting a full breath, and I have to pause to catch my breath. it is getting in the way of my normal day. It feels severe and hard to ignore. On top of that, i do not have burning when i pee.",Asthma,lately i feel like i have wheezing trouble getting a full breath and i have to pause to catch my breath it is getting in the way of my normal day it feels severe and hard to ignore on top of that i do not have burning when i pee,lately feel like wheeze trouble get breath pause catch breath get way normal day feel severe hard ignore not burn pee,6
"For for a few days, I have been dealing with pain around my cheeks and forehead, facial pressure, and a headache with sinus pressure. I am sleeping poorly because of it. It has been a real nuisance. At the same time, i do not have swollen toe joints.",Sinusitis,for for a few days i have been dealing with pain around my cheeks and forehead facial pressure and a headache with sinus pressure i am sleeping poorly because of it it has been a real nuisance at the same time i do not have swollen toe joints,day deal pain cheek forehead facial pressure headache sinus pressure sleep poorly real nuisance time not swell toe joint,29
"I feel tightness in my chest, a cough that gets worse at night, and I feel breathless around dust today. It feels severe and hard to ignore. it is making simple tasks feel harder. I feel off in myself. On top of that, i do not notice a rash.",Asthma,i feel tightness in my chest a cough that gets worse at night and i feel breathless around dust today it feels severe and hard to ignore it is making simple tasks feel harder i feel off in myself on top of that i do not notice a rash,feel tightness chest cough get bad night feel breathless dust today feel severe hard ignore make simple task feel hard feel not notice rash,6
